L24,L48,H24,H48,Metric
11.621483878551027,27.45848638778675,23.07326872095366,45.31731962357871,Meal Size
0.4949982160421871,1.1319738019959735,1.0504701227461837,1.7298467062395906,Feed Speed
-0.5949950358434084,-0.6554326311035175,-0.04496682251996331,-0.056606687640401,Prefeed Speed
-0.2850061162473045,-0.3198521748477195,-0.1426693668557133,-0.17700462608082151,Duringfeed Speed
-0.877636870920118,-0.8266447340829964,-0.4399029187494452,-0.3231385396901236,Postfeed Speed
3.4564960159950653,6.457974025641539,6.305214105431068,10.497360626913569,Meal Duration
59.26342166666667,226.20633999999995,114.75816333333333,316.0152422222222,Volume
-3.3583333333333334,0.5133333333333336,1.3449999999999998,6.76,Count
0.1762943472222228,0.8766585925925914,0.5121075972222211,1.3928933148148124,Duration
-28.454309499999994,-52.27075866666668,-5.201520527777781,-28.605276629629618,Latency
-0.03278001622143478,-0.060762196813009484,0.19065755381508842,0.15349468221402718,Duringfeed Speed Ratio
-0.31866176885717845,-0.3294244652782019,-0.06951382124542715,-0.1390219257242371,Perifeed Speed Ratio
-0.3268551785608623,-0.3730204059612882,-0.11878051626930186,-0.16140671321659422,Speed
-0.19184454747100865,0.15203630709974192,1.1761131193067627,1.690770458590376,Height
-0.16351417060294526,0.4394013769256895,2.2684646198017973,1.3819579512827636,Food Port Occupancy
-0.5414652218208762,-0.5304189435336976,-0.2115738168009632,-0.21189682319162728,Ctrl Port Occupancy
13.14,-4.240000000000002,29.313333333333333,7.782222222222224,Falls
