,index,Genotype,Status,Light,Perifeed Speed Ratio
105,51,Trhn/w,Ctrl,Green Light Off,0.5633174809379579
106,50,Trhn>ACR1,Test,Green Light Off,0.9941249063169664
107,49,Trhn/w,Ctrl,Green Light Off,0.0627192372648167
108,83,Trhn>ACR1,Test,Green Light Off,0.8860384435410356
109,72,ACR1/w,Ctrl,Green Light Off,1.0367927951302005
110,73,Trhn/w,Ctrl,Green Light Off,0.8782299351631059
111,53,Trhn/w,Ctrl,Green Light Off,0.7061552091368535
112,75,Trhn>ACR1,Test,Green Light Off,0.8360921108147932
113,77,Trhn/w,Ctrl,Green Light Off,0.7089820774124789
114,78,Trhn>ACR1,Test,Green Light Off,1.014003505056961
115,79,ACR1/w,Ctrl,Green Light Off,1.0152709534089193
116,80,Trhn/w,Ctrl,Green Light Off,0.98539737181478
117,76,ACR1/w,Ctrl,Green Light Off,0.561902715918125
118,81,ACR1/w,Ctrl,Green Light Off,0.8199855067766434
119,74,Trhn/w,Ctrl,Green Light Off,0.8679533129430308
120,25,Trhn>ACR1,Test,Green Light On,0.7109113148401497
121,205,ACR1/w,Ctrl,Green Light On,
122,204,ACR1/w,Ctrl,Green Light On,
123,203,ACR1/w,Ctrl,Green Light On,
124,32,Trhn>ACR1,Test,Green Light On,0.7626176664025546
125,31,Trhn/w,Ctrl,Green Light On,0.8657760944939877
126,30,Trhn/w,Ctrl,Green Light On,0.9176350341957472
127,29,ACR1/w,Ctrl,Green Light On,0.1782794210371555
128,202,ACR1/w,Ctrl,Green Light On,
129,201,Trhn/w,Ctrl,Green Light On,
130,200,ACR1/w,Ctrl,Green Light On,
131,199,Trhn>ACR1,Test,Green Light On,
132,198,ACR1/w,Ctrl,Green Light On,
133,197,Trhn>ACR1,Test,Green Light On,
134,28,Trhn>ACR1,Test,Green Light On,0.1590519874352756
135,196,ACR1/w,Ctrl,Green Light On,
136,206,ACR1/w,Ctrl,Green Light On,
137,27,Trhn>ACR1,Test,Green Light On,0.0930438280135839
138,194,ACR1/w,Ctrl,Green Light On,
139,20,Trhn>ACR1,Test,Green Light On,0.963054711614116
140,21,Trhn/w,Ctrl,Green Light On,0.8809501985089416
141,22,Trhn>ACR1,Test,Green Light On,0.6892108345333653
142,23,ACR1/w,Ctrl,Green Light On,0.2625668520443974
143,24,Trhn/w,Ctrl,Green Light On,0.8866275316187321
144,26,ACR1/w,Ctrl,Green Light On,0.766840500110064
145,195,Trhn/w,Ctrl,Green Light On,
146,19,Trhn/w,Ctrl,Green Light On,1.330434351113592
147,17,Trhn>ACR1,Test,Green Light On,0.8094775360396725
148,221,Trhn/w,Ctrl,Green Light On,
149,222,Trhn>ACR1,Test,Green Light On,
150,223,Trhn/w,Ctrl,Green Light On,
151,224,ACR1/w,Ctrl,Green Light On,
152,225,ACR1/w,Ctrl,Green Light On,
153,12,Trhn>ACR1,Test,Green Light On,0.9699505289695914
154,11,Trhn/w,Ctrl,Green Light On,1.069242762686623
155,10,ACR1/w,Ctrl,Green Light On,1.0624980937292836
156,9,Trhn>ACR1,Test,Green Light On,1.0401989148878006
157,8,Trhn/w,Ctrl,Green Light On,0.853700423185253
158,7,Trhn/w,Ctrl,Green Light On,0.9635988354698136
159,6,Trhn>ACR1,Test,Green Light On,0.6799850376218528
160,5,Trhn/w,Ctrl,Green Light On,0.8853416008073733
161,4,Trhn>ACR1,Test,Green Light On,0.5142518821092864
162,3,Trhn/w,Ctrl,Green Light On,0.9642969316202292
163,2,ACR1/w,Ctrl,Green Light On,0.9184689648606827
164,1,Trhn>ACR1,Test,Green Light On,0.8560098663453128
165,33,ACR1/w,Ctrl,Green Light On,0.2338793123318009
166,220,ACR1/w,Ctrl,Green Light On,
167,219,Trhn/w,Ctrl,Green Light On,
168,218,ACR1/w,Ctrl,Green Light On,
169,217,Trhn>ACR1,Test,Green Light On,
170,216,Trhn/w,Ctrl,Green Light On,
171,215,ACR1/w,Ctrl,Green Light On,
172,214,Trhn/w,Ctrl,Green Light On,
173,13,Trhn/w,Ctrl,Green Light On,0.8929370220118207
174,14,Trhn>ACR1,Test,Green Light On,0.912815045754684
175,15,Trhn/w,Ctrl,Green Light On,0.6649242002826297
176,16,Trhn>ACR1,Test,Green Light On,0.5242786818082098
177,18,ACR1/w,Ctrl,Green Light On,0.2114756286928666
178,34,Trhn/w,Ctrl,Green Light On,0.8271172383237797
179,40,Trhn>ACR1,Test,Green Light On,0.8011365321954795
180,36,ACR1/w,Ctrl,Green Light On,1.017472962183682
181,140,ACR1/w,Ctrl,Green Light On,0.4163332275835586
182,139,Trhn>ACR1,Test,Green Light On,0.3947892145521192
183,138,Trhn/w,Ctrl,Green Light On,0.3880692714713455
184,137,ACR1/w,Ctrl,Green Light On,0.658532296804301
185,136,Trhn>ACR1,Test,Green Light On,0.2492287594053285
186,135,Trhn/w,Ctrl,Green Light On,1.2653714080795964
187,134,Trhn>ACR1,Test,Green Light On,0.6173030131349195
188,133,Trhn>ACR1,Test,Green Light On,1.6097569289860307
189,132,ACR1/w,Ctrl,Green Light On,0.6332113529541261
190,108,Trhn/w,Ctrl,Green Light On,1.1293163525336822
191,107,ACR1/w,Ctrl,Green Light On,1.0827005019707343
192,106,Trhn>ACR1,Test,Green Light On,0.7522223693261543
193,141,Trhn/w,Ctrl,Green Light On,0.1645431021816876
194,105,Trhn/w,Ctrl,Green Light On,0.4047097969155834
195,103,Trhn>ACR1,Test,Green Light On,1.0498086564562472
196,102,Trhn/w,Ctrl,Green Light On,0.4167683043335982
197,101,Trhn>ACR1,Test,Green Light On,0.546750302845162
198,100,Trhn/w,Ctrl,Green Light On,0.4902696211528977
199,99,Trhn>ACR1,Test,Green Light On,1.0220334346111817
200,98,Trhn/w,Ctrl,Green Light On,0.7589642223102668
201,97,Trhn>ACR1,Test,Green Light On,0.6216693189735814
202,96,Trhn/w,Ctrl,Green Light On,0.7265957597253324
203,95,Trhn>ACR1,Test,Green Light On,0.6554352758769892
204,94,Trhn/w,Ctrl,Green Light On,0.7199562139023795
205,93,Trhn>ACR1,Test,Green Light On,1.329710871654113
206,92,Trhn/w,Ctrl,Green Light On,0.9472977226680732
207,104,Trhn>ACR1,Test,Green Light On,0.1185476993869904
208,142,Trhn>ACR1,Test,Green Light On,0.8853795516346821
209,143,Trhn/w,Ctrl,Green Light On,0.1168035185529462
210,144,Trhn>ACR1,Test,Green Light On,0.4433520160375222
