,index,Genotype,Status,Light,Perifeed Speed Ratio
110,33,Chr/w,Ctrl,Red Light Off,
111,22,R50H05>Chr,Test,Red Light Off,
112,21,R50H05>Chr,Test,Red Light Off,1.3688181651365423
113,19,Chr/w,Ctrl,Red Light Off,0.233430103403321
114,89,R50H05/w,Ctrl,Red Light Off,1.0074527103398874
115,1,Chr/w,Ctrl,Red Light Off,
116,2,Chr/w,Ctrl,Red Light Off,
117,3,R50H05>Chr,Test,Red Light Off,
118,4,R50H05>Chr,Test,Red Light Off,0.8976065983294554
119,5,R50H05/w,Ctrl,Red Light Off,
120,6,Chr/w,Ctrl,Red Light Off,
121,7,R50H05/w,Ctrl,Red Light Off,
122,8,Chr/w,Ctrl,Red Light Off,
123,9,Chr/w,Ctrl,Red Light Off,
124,10,R50H05/w,Ctrl,Red Light Off,
125,11,Chr/w,Ctrl,Red Light Off,
126,12,R50H05>Chr,Test,Red Light Off,3.925131206963087
127,13,R50H05/w,Ctrl,Red Light Off,1.0475861304570124
128,14,Chr/w,Ctrl,Red Light Off,0.6797902539748509
129,15,R50H05/w,Ctrl,Red Light Off,1.0831976436368569
130,16,Chr/w,Ctrl,Red Light Off,0.6476553423961402
131,17,R50H05/w,Ctrl,Red Light Off,0.916014788799722
132,18,Chr/w,Ctrl,Red Light Off,0.5536426239868206
133,42,Chr/w,Ctrl,Red Light Off,
134,43,Chr/w,Ctrl,Red Light Off,
135,20,R50H05>Chr,Test,Red Light Off,2.168538685999116
136,45,R50H05/w,Ctrl,Red Light Off,
137,69,Chr/w,Ctrl,Red Light Off,0.7346176708111831
138,70,Chr/w,Ctrl,Red Light Off,0.1392826837559508
139,71,Chr/w,Ctrl,Red Light Off,0.9148369260987808
140,72,R50H05/w,Ctrl,Red Light Off,1.0890381065841006
141,73,R50H05>Chr,Test,Red Light Off,0.4303620250977983
142,74,R50H05>Chr,Test,Red Light Off,
143,75,R50H05>Chr,Test,Red Light Off,
144,77,R50H05/w,Ctrl,Red Light Off,0.9024170001728002
145,78,R50H05/w,Ctrl,Red Light Off,1.0667657587137094
146,79,R50H05/w,Ctrl,Red Light Off,1.2904101127155234
147,80,Chr/w,Ctrl,Red Light Off,0.8374167229524275
148,81,R50H05/w,Ctrl,Red Light Off,0.926894430006421
149,82,Chr/w,Ctrl,Red Light Off,1.1156640597774534
150,83,R50H05/w,Ctrl,Red Light Off,1.0285141511715086
151,84,R50H05/w,Ctrl,Red Light Off,1.116437373074708
152,85,R50H05/w,Ctrl,Red Light Off,0.9978676788217602
153,86,Chr/w,Ctrl,Red Light Off,1.863932830937782
154,44,Chr/w,Ctrl,Red Light Off,
155,87,R50H05/w,Ctrl,Red Light Off,0.9179979741847818
156,68,R50H05/w,Ctrl,Red Light Off,0.2688653413710445
157,67,R50H05/w,Ctrl,Red Light Off,0.8323681301879845
158,76,R50H05>Chr,Test,Red Light Off,
159,65,R50H05/w,Ctrl,Red Light Off,0.794754320535221
160,46,Chr/w,Ctrl,Red Light Off,
161,47,Chr/w,Ctrl,Red Light Off,
162,66,R50H05/w,Ctrl,Red Light Off,1.0044822412917978
163,48,Chr/w,Ctrl,Red Light Off,
164,49,R50H05>Chr,Test,Red Light Off,0.1177609416384221
165,50,Chr/w,Ctrl,Red Light Off,0.7712314832637666
166,51,Chr/w,Ctrl,Red Light Off,0.90076346694557
167,53,R50H05>Chr,Test,Red Light Off,
168,54,R50H05/w,Ctrl,Red Light Off,0.9831320093695908
169,55,Chr/w,Ctrl,Red Light Off,0.8314797634107735
170,52,R50H05>Chr,Test,Red Light Off,1.573585055032758
171,57,R50H05/w,Ctrl,Red Light Off,1.1307434450569362
172,58,R50H05/w,Ctrl,Red Light Off,0.5872024494606534
173,59,R50H05/w,Ctrl,Red Light Off,1.030716947133583
174,60,R50H05/w,Ctrl,Red Light Off,0.5935320694451548
175,61,R50H05/w,Ctrl,Red Light Off,0.9403091120626148
176,62,Chr/w,Ctrl,Red Light Off,0.9646285007012068
177,56,Chr/w,Ctrl,Red Light Off,0.1697054714113312
178,63,Chr/w,Ctrl,Red Light Off,0.9481759009851264
179,64,Chr/w,Ctrl,Red Light Off,0.4254059132888317
180,314,R50H05/w,Ctrl,Red Light On,
181,321,Chr/w,Ctrl,Red Light On,
182,313,Chr/w,Ctrl,Red Light On,
183,320,R50H05/w,Ctrl,Red Light On,
184,319,R50H05/w,Ctrl,Red Light On,
185,316,R50H05/w,Ctrl,Red Light On,0.8691971908934569
186,317,Chr/w,Ctrl,Red Light On,0.0856837003783288
187,315,R50H05/w,Ctrl,Red Light On,0.3127577193512922
188,322,Chr/w,Ctrl,Red Light On,
189,318,R50H05/w,Ctrl,Red Light On,1.024469288018612
190,323,Chr/w,Ctrl,Red Light On,0.307995232714336
191,331,R50H05/w,Ctrl,Red Light On,0.7091842695784886
192,325,Chr/w,Ctrl,Red Light On,0.1536333473972085
193,326,R50H05/w,Ctrl,Red Light On,0.8993835134189235
194,327,Chr/w,Ctrl,Red Light On,0.834761690570802
195,328,R50H05/w,Ctrl,Red Light On,0.9299287618868524
196,329,Chr/w,Ctrl,Red Light On,1.3060570376446266
197,330,R50H05/w,Ctrl,Red Light On,0.8320496411333139
198,332,Chr/w,Ctrl,Red Light On,0.1216320984731594
199,334,Chr/w,Ctrl,Red Light On,0.0950090125830949
200,312,Chr/w,Ctrl,Red Light On,
201,333,R50H05/w,Ctrl,Red Light On,1.076297916235986
202,324,R50H05/w,Ctrl,Red Light On,1.0289667589120313
203,311,R50H05/w,Ctrl,Red Light On,
204,290,R50H05/w,Ctrl,Red Light On,0.8424013782288821
205,309,R50H05/w,Ctrl,Red Light On,
206,286,Chr/w,Ctrl,Red Light On,
207,335,Chr/w,Ctrl,Red Light On,0.7006108981661459
208,287,R50H05/w,Ctrl,Red Light On,0.4719951493059615
209,288,R50H05/w,Ctrl,Red Light On,2.9102401327598164
210,289,Chr/w,Ctrl,Red Light On,0.5979887974211091
211,291,Chr/w,Ctrl,Red Light On,0.7565934264110185
212,292,Chr/w,Ctrl,Red Light On,0.3985122950751085
213,293,Chr/w,Ctrl,Red Light On,0.5921637355702304
214,294,Chr/w,Ctrl,Red Light On,0.6895098986068001
215,295,R50H05/w,Ctrl,Red Light On,1.1171562763374037
216,296,Chr/w,Ctrl,Red Light On,1.542149189067806
217,297,Chr/w,Ctrl,Red Light On,1.2616686495973748
218,298,R50H05/w,Ctrl,Red Light On,0.6719189295545411
219,299,Chr/w,Ctrl,Red Light On,0.6323837852066134
220,300,R50H05/w,Ctrl,Red Light On,0.7443601733098961
221,301,Chr/w,Ctrl,Red Light On,
222,302,R50H05/w,Ctrl,Red Light On,
223,303,Chr/w,Ctrl,Red Light On,0.6383793220211114
224,304,Chr/w,Ctrl,Red Light On,
225,305,Chr/w,Ctrl,Red Light On,
226,306,R50H05/w,Ctrl,Red Light On,
227,307,R50H05/w,Ctrl,Red Light On,
228,308,R50H05/w,Ctrl,Red Light On,
229,310,Chr/w,Ctrl,Red Light On,
230,336,R50H05/w,Ctrl,Red Light On,0.5833683911450837
231,380,R50H05/w,Ctrl,Red Light On,0.7388634206269149
232,338,R50H05/w,Ctrl,Red Light On,1.0267743438535326
233,366,R50H05/w,Ctrl,Red Light On,
234,367,Chr/w,Ctrl,Red Light On,
235,368,Chr/w,Ctrl,Red Light On,
236,369,Chr/w,Ctrl,Red Light On,
237,370,Chr/w,Ctrl,Red Light On,
238,371,R50H05/w,Ctrl,Red Light On,
239,372,Chr/w,Ctrl,Red Light On,
240,373,Chr/w,Ctrl,Red Light On,0.8024130494741857
241,374,Chr/w,Ctrl,Red Light On,0.5412407284983557
242,375,R50H05/w,Ctrl,Red Light On,1.0698710590618006
243,365,Chr/w,Ctrl,Red Light On,
244,376,R50H05/w,Ctrl,Red Light On,0.3465317927956429
245,378,Chr/w,Ctrl,Red Light On,0.3719986199462758
246,379,R50H05/w,Ctrl,Red Light On,1.1323080277430126
247,381,Chr/w,Ctrl,Red Light On,0.3384841438681826
248,382,Chr/w,Ctrl,Red Light On,0.5092328258858316
249,383,Chr/w,Ctrl,Red Light On,1.0347193630894744
250,384,Chr/w,Ctrl,Red Light On,0.117329730781754
251,385,R50H05/w,Ctrl,Red Light On,0.6925859473729443
252,386,R50H05/w,Ctrl,Red Light On,0.9598138201512052
253,387,R50H05/w,Ctrl,Red Light On,
254,285,Chr/w,Ctrl,Red Light On,
255,377,R50H05/w,Ctrl,Red Light On,0.0606366727116916
256,364,Chr/w,Ctrl,Red Light On,
257,363,R50H05/w,Ctrl,Red Light On,
258,362,R50H05/w,Ctrl,Red Light On,
259,339,R50H05/w,Ctrl,Red Light On,1.859807603407332
260,340,Chr/w,Ctrl,Red Light On,0.0605139499530317
261,341,R50H05/w,Ctrl,Red Light On,0.8420341636003308
262,342,Chr/w,Ctrl,Red Light On,0.0883328291666653
263,343,Chr/w,Ctrl,Red Light On,0.4282286529877894
264,344,Chr/w,Ctrl,Red Light On,0.1026368812666293
265,345,R50H05/w,Ctrl,Red Light On,0.3542615617622658
266,346,Chr/w,Ctrl,Red Light On,0.2809332556118956
267,347,R50H05/w,Ctrl,Red Light On,0.196537393517996
268,348,Chr/w,Ctrl,Red Light On,0.3920794704499249
269,349,Chr/w,Ctrl,Red Light On,0.1077920495510928
270,350,Chr/w,Ctrl,Red Light On,1.2153253193817617
271,351,Chr/w,Ctrl,Red Light On,0.895032617748194
272,352,R50H05/w,Ctrl,Red Light On,0.9321692254243276
273,353,Chr/w,Ctrl,Red Light On,0.99024070865624
274,354,Chr/w,Ctrl,Red Light On,0.849688298688107
275,355,R50H05/w,Ctrl,Red Light On,0.8980385015314235
276,356,R50H05/w,Ctrl,Red Light On,1.0436622604141397
277,357,R50H05/w,Ctrl,Red Light On,
278,358,Chr/w,Ctrl,Red Light On,
279,359,R50H05/w,Ctrl,Red Light On,
280,360,R50H05/w,Ctrl,Red Light On,
281,361,Chr/w,Ctrl,Red Light On,
282,337,R50H05/w,Ctrl,Red Light On,1.1179337723040286
283,284,R50H05/w,Ctrl,Red Light On,
284,194,R50H05>Chr,Test,Red Light On,0.5660752299483054
285,282,Chr/w,Ctrl,Red Light On,
286,207,R50H05>Chr,Test,Red Light On,0.7658733734983542
287,208,R50H05>Chr,Test,Red Light On,0.5386811371419501
288,209,R50H05>Chr,Test,Red Light On,0.5208892139669485
289,210,R50H05>Chr,Test,Red Light On,0.611655901819281
290,211,R50H05>Chr,Test,Red Light On,0.724729325894253
291,212,R50H05>Chr,Test,Red Light On,0.7785687374167667
292,213,R50H05>Chr,Test,Red Light On,
293,214,R50H05>Chr,Test,Red Light On,0.9390832904131072
294,215,R50H05>Chr,Test,Red Light On,1.4418041861258986
295,216,R50H05>Chr,Test,Red Light On,0.6566463376464263
296,206,R50H05>Chr,Test,Red Light On,0.9886388623453216
297,217,R50H05>Chr,Test,Red Light On,0.9884092098376166
298,219,R50H05>Chr,Test,Red Light On,0.838617011865919
299,220,R50H05>Chr,Test,Red Light On,0.6504019116655706
300,221,R50H05>Chr,Test,Red Light On,0.8459710291016085
301,222,R50H05>Chr,Test,Red Light On,0.7510904248860036
302,223,R50H05>Chr,Test,Red Light On,0.6916374453741265
303,224,R50H05>Chr,Test,Red Light On,1.746145544420355
304,225,R50H05>Chr,Test,Red Light On,0.5287273576557886
305,226,R50H05>Chr,Test,Red Light On,0.8997208479309522
306,227,R50H05>Chr,Test,Red Light On,0.6720959805059632
307,228,R50H05>Chr,Test,Red Light On,1.3463042511266177
308,218,R50H05>Chr,Test,Red Light On,0.459257567471154
309,205,R50H05/w,Ctrl,Red Light On,1.0056373133396432
310,204,R50H05>Chr,Test,Red Light On,0.8993630055178933
311,203,Chr/w,Ctrl,Red Light On,1.3167285635339985
312,180,R50H05>Chr,Test,Red Light On,0.710542288885739
313,181,R50H05>Chr,Test,Red Light On,0.8773998060674805
314,182,R50H05>Chr,Test,Red Light On,0.6857909411647899
315,183,R50H05>Chr,Test,Red Light On,0.6397045993111434
316,184,R50H05>Chr,Test,Red Light On,0.7002362051554841
317,185,R50H05>Chr,Test,Red Light On,0.5842984668887938
318,186,R50H05>Chr,Test,Red Light On,0.2320831666409995
319,187,R50H05>Chr,Test,Red Light On,0.8332041169732589
320,188,R50H05>Chr,Test,Red Light On,0.9259724469852844
321,189,R50H05>Chr,Test,Red Light On,0.7235999235199979
322,190,R50H05/w,Ctrl,Red Light On,0.9910277036225856
323,191,R50H05>Chr,Test,Red Light On,
324,192,R50H05>Chr,Test,Red Light On,0.745841917130102
325,193,R50H05>Chr,Test,Red Light On,0.1162542653997125
326,388,R50H05/w,Ctrl,Red Light On,1.075115994379029
327,195,R50H05>Chr,Test,Red Light On,0.6941132239347195
328,196,R50H05>Chr,Test,Red Light On,0.9008682526634753
329,197,R50H05/w,Ctrl,Red Light On,0.399743498340908
330,198,R50H05>Chr,Test,Red Light On,0.6020001885407311
331,199,R50H05>Chr,Test,Red Light On,0.7614038959571667
332,200,R50H05>Chr,Test,Red Light On,1.366941101370808
333,201,R50H05>Chr,Test,Red Light On,0.5973432480808991
334,202,R50H05>Chr,Test,Red Light On,0.9058919399504982
335,229,R50H05>Chr,Test,Red Light On,0.7105711824923672
336,283,R50H05/w,Ctrl,Red Light On,
337,230,R50H05>Chr,Test,Red Light On,2.119961332594221
338,232,R50H05>Chr,Test,Red Light On,0.8034820347488197
339,260,Chr/w,Ctrl,Red Light On,3.778453866360716
340,261,R50H05/w,Ctrl,Red Light On,1.0152334646151688
341,262,Chr/w,Ctrl,Red Light On,0.0984760448803899
342,263,R50H05/w,Ctrl,Red Light On,0.4303146626943449
343,264,R50H05/w,Ctrl,Red Light On,0.9819859377577326
344,265,Chr/w,Ctrl,Red Light On,1.670248644853424
345,266,R50H05/w,Ctrl,Red Light On,
346,267,R50H05/w,Ctrl,Red Light On,2.481224582927192
347,268,Chr/w,Ctrl,Red Light On,
348,269,Chr/w,Ctrl,Red Light On,1.0289687662885765
349,259,Chr/w,Ctrl,Red Light On,0.1707453022212494
350,270,R50H05/w,Ctrl,Red Light On,
351,272,R50H05/w,Ctrl,Red Light On,
352,273,Chr/w,Ctrl,Red Light On,
353,274,Chr/w,Ctrl,Red Light On,
354,275,R50H05/w,Ctrl,Red Light On,
355,276,Chr/w,Ctrl,Red Light On,
356,277,Chr/w,Ctrl,Red Light On,
357,278,R50H05/w,Ctrl,Red Light On,
358,279,Chr/w,Ctrl,Red Light On,
359,280,R50H05/w,Ctrl,Red Light On,
360,281,R50H05/w,Ctrl,Red Light On,
361,271,R50H05/w,Ctrl,Red Light On,
362,258,Chr/w,Ctrl,Red Light On,1.3221162796837516
363,257,Chr/w,Ctrl,Red Light On,1.2874252401476871
364,256,R50H05/w,Ctrl,Red Light On,0.699956222346408
365,233,R50H05>Chr,Test,Red Light On,0.6266032750550927
366,234,R50H05>Chr,Test,Red Light On,0.8602492500931438
367,235,R50H05>Chr,Test,Red Light On,0.7565002296493989
