,Genotype,Light,Status,Volume,Meal Size,Count,date,ID,Calculated Volume (Meal Size x Count)
61,Trhn/w,Red Light Off,Ctrl,224.108,112.054,2.0,2019-04-29_14-47-32,1,224.108
62,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-12_16-14-48,12,0.0
63,Trhn/w,Red Light Off,Ctrl,184.778,184.778,1.0,2020-11-12_16-14-48,13,184.778
64,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-12_16-14-48,3,0.0
65,Trhn>Chr,Red Light Off,Test,190.748,190.748,1.0,2020-11-12_16-14-48,28,190.748
66,Trhn>Chr,Red Light Off,Test,259.584,259.584,1.0,2019-04-29_14-47-32,11,259.584
67,Trhn>Chr,Red Light Off,Test,303.203,21.6573571428571,14.0,2020-11-03_12-33-55,9,303.2029999999994
68,Trhn>Chr,Red Light Off,Test,343.235,57.2058333333333,6.0,2019-04-29_14-47-32,14,343.2349999999998
69,Trhn>Chr,Red Light Off,Test,268.106,53.6212,5.0,2020-11-03_12-33-55,6,268.106
70,Trhn/w,Red Light Off,Ctrl,256.461,256.461,1.0,2020-11-12_16-14-48,10,256.461
71,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2019-04-29_14-47-32,9,0.0
72,Chr/w,Red Light Off,Ctrl,272.171,136.0855,2.0,2019-04-27_17-20-05,28,272.171
73,Chr/w,Red Light Off,Ctrl,325.001,65.00019999999999,5.0,2020-11-12_16-14-48,23,325.001
74,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-12_16-14-48,17,0.0
75,Trhn/w,Red Light Off,Ctrl,240.95,7.5296875,32.0,2019-04-27_17-20-05,26,240.95
76,Trhn/w,Red Light Off,Ctrl,331.312,8.7187368421052,38.0,2019-04-27_17-20-05,23,331.31199999999757
77,Chr/w,Red Light Off,Ctrl,252.14700000000002,63.036750000000005,4.0,2019-04-27_17-20-05,16,252.14700000000002
78,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-12_16-14-48,29,0.0
79,Chr/w,Red Light Off,Ctrl,172.2469999999999,86.1234999999999,2.0,2020-11-12_16-14-48,9,172.2469999999998
80,Trhn/w,Red Light Off,Ctrl,274.8379999999999,137.4189999999999,2.0,2020-11-12_16-14-48,21,274.8379999999998
81,Trhn/w,Red Light Off,Ctrl,210.441,210.441,1.0,2020-11-12_16-14-48,7,210.441
82,Chr/w,Red Light Off,Ctrl,201.30100000000002,22.3667777777777,9.0,2020-11-12_16-14-48,6,201.3009999999993
83,Trhn/w,Red Light Off,Ctrl,158.128,79.064,2.0,2020-11-12_16-14-48,4,158.128
84,Trhn/w,Red Light Off,Ctrl,261.09,52.218,5.0,2020-11-12_16-14-48,30,261.09000000000003
85,Chr/w,Red Light Off,Ctrl,475.008,43.1825454545454,11.0,2020-11-12_16-14-48,26,475.00799999999936
86,Trhn/w,Red Light Off,Ctrl,364.212,182.106,2.0,2020-11-12_16-14-48,24,364.212
87,Trhn/w,Red Light Off,Ctrl,138.237,6.911849999999999,20.0,2019-04-29_14-47-32,10,138.237
88,Chr/w,Red Light Off,Ctrl,354.75,29.5625,12.0,2019-04-27_17-20-05,25,354.75
89,Trhn/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-12_16-14-48,18,0.0
90,Trhn>Chr,Red Light Off,Test,0.0,0.0,0.0,2020-11-03_12-33-55,12,0.0
91,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-03_12-33-55,24,0.0
92,Trhn/w,Red Light Off,Ctrl,300.76399999999995,7.1610476190476,42.0,2019-04-27_17-20-05,9,300.7639999999992
93,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-12_16-14-48,20,0.0
94,Chr/w,Red Light Off,Ctrl,283.4669999999999,40.4952857142857,7.0,2019-04-27_17-20-05,8,283.46699999999987
95,Trhn/w,Red Light Off,Ctrl,447.33,11.469999999999999,39.0,2019-04-27_17-20-05,6,447.3299999999999
96,Trhn/w,Red Light Off,Ctrl,392.363,26.157533333333298,15.0,2019-04-27_17-20-05,17,392.3629999999995
97,Chr/w,Red Light Off,Ctrl,172.08,15.6436363636363,11.0,2019-04-29_14-47-32,23,172.0799999999993
98,Trhn/w,Red Light Off,Ctrl,236.40900000000002,7.387781250000001,32.0,2019-04-29_14-47-32,21,236.40900000000002
99,Chr/w,Red Light Off,Ctrl,108.699,12.0776666666666,9.0,2019-04-29_14-47-32,26,108.6989999999994
100,Trhn/w,Red Light Off,Ctrl,313.35200000000003,26.1126666666666,12.0,2019-04-29_14-47-32,24,313.3519999999992
101,Chr/w,Red Light Off,Ctrl,149.498,9.9665333333333,15.0,2019-04-29_14-47-32,17,149.4979999999995
102,Trhn/w,Red Light Off,Ctrl,118.103,118.103,1.0,2019-04-29_14-47-32,18,118.103
103,Trhn/w,Red Light Off,Ctrl,402.818,8.5705957446808,47.0,2019-04-29_14-47-32,27,402.8179999999976
104,Chr/w,Red Light Off,Ctrl,311.616,28.3287272727272,11.0,2019-04-29_14-47-32,20,311.6159999999992
105,Trhn/w,Red Light Off,Ctrl,292.2,26.5636363636363,11.0,2019-04-29_14-47-32,7,292.1999999999993
106,Chr/w,Red Light Off,Ctrl,9.922,9.922,1.0,2019-04-27_17-20-05,19,9.922
107,Trhn/w,Red Light Off,Ctrl,146.91000000000003,18.363750000000003,8.0,2019-04-27_17-20-05,3,146.91000000000003
108,Chr/w,Red Light Off,Ctrl,210.505,9.1523913043478,23.0,2019-04-29_14-47-32,6,210.5049999999994
109,Trhn/w,Red Light Off,Ctrl,176.7729999999999,6.5471481481481,27.0,2019-04-29_14-47-32,4,176.7729999999987
110,Trhn/w,Red Light Off,Ctrl,114.895,11.4895,10.0,2019-04-29_14-47-32,30,114.895
111,Trhn/w,Red Light Off,Ctrl,435.851,145.2836666666666,3.0,2020-11-12_16-14-48,1,435.8509999999998
112,Chr/w,Red Light Off,Ctrl,178.482,59.494,3.0,2019-04-29_14-47-32,3,178.482
113,Trhn/w,Red Light Off,Ctrl,274.871,274.871,1.0,2019-04-29_14-47-32,16,274.871
114,Chr/w,Red Light Off,Ctrl,257.49699999999996,10.7290416666666,24.0,2019-04-29_14-47-32,15,257.49699999999837
115,Chr/w,Red Light Off,Ctrl,94.316,31.438666666666602,3.0,2019-04-27_17-20-05,5,94.3159999999998
116,Trhn/w,Red Light Off,Ctrl,264.278,11.0115833333333,24.0,2019-04-27_17-20-05,29,264.2779999999992
117,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2020-11-12_16-14-48,15,0.0
118,Trhn/w,Red Light Off,Ctrl,264.903,33.112875,8.0,2019-04-27_17-20-05,12,264.903
119,Chr/w,Red Light Off,Ctrl,0.0,0.0,0.0,2019-04-29_14-47-32,29,0.0
120,Chr/w,Red Light On,Ctrl,161.5329999999999,5.9827037037037005,27.0,2019-05-01_14-57-59,11,161.5329999999999
121,Trhn/w,Red Light On,Ctrl,143.2449999999999,23.8741666666666,6.0,2019-04-29_17-05-16,4,143.2449999999996
122,Trhn/w,Red Light On,Ctrl,275.169,13.75845,20.0,2019-04-03_12-01-47,25,275.169
123,Trhn/w,Red Light On,Ctrl,348.15299999999996,19.3418333333333,18.0,2020-11-05_15-14-54,22,348.15299999999945
124,Chr/w,Red Light On,Ctrl,257.322,25.7322,10.0,2019-05-01_14-57-59,14,257.322
125,Trhn/w,Red Light On,Ctrl,338.451,18.8028333333333,18.0,2020-11-12_13-47-57,13,338.4509999999994
126,Chr/w,Red Light On,Ctrl,134.492,33.623,4.0,2020-11-12_13-47-57,12,134.492
127,Chr/w,Red Light On,Ctrl,189.416,47.354,4.0,2020-11-12_13-47-57,17,189.416
128,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-04-29_17-05-16,6,0.0
129,Chr/w,Red Light On,Ctrl,47.029,6.7184285714285,7.0,2019-04-05_12-10-53,4,47.0289999999995
130,Trhn/w,Red Light On,Ctrl,0.0,0.0,0.0,2020-11-05_15-14-54,19,0.0
131,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2020-11-05_15-14-54,24,0.0
132,Trhn/w,Red Light On,Ctrl,384.79599999999994,6.4132666666666,60.0,2019-04-05_12-10-53,2,384.795999999996
133,Trhn>Chr,Red Light On,Test,178.841,5.2600294117647,34.0,2020-11-12_13-47-57,25,178.8409999999998
134,Trhn/w,Red Light On,Ctrl,228.39299999999992,4.2295,54.0,2019-04-05_12-10-53,19,228.393
135,Trhn/w,Red Light On,Ctrl,217.115,9.4397826086956,23.0,2019-04-05_12-10-53,8,217.1149999999988
136,Trhn/w,Red Light On,Ctrl,317.698,52.9496666666666,6.0,2020-11-12_13-47-57,10,317.69799999999964
137,Chr/w,Red Light On,Ctrl,143.263,23.8771666666666,6.0,2019-04-05_12-10-53,18,143.2629999999996
138,Chr/w,Red Light On,Ctrl,325.612,27.1343333333333,12.0,2019-04-03_12-01-47,10,325.61199999999957
139,Trhn/w,Red Light On,Ctrl,358.399,51.199857142857105,7.0,2020-11-12_13-47-57,1,358.3989999999997
140,Trhn/w,Red Light On,Ctrl,442.235,27.6396875,16.0,2020-11-05_15-14-54,11,442.235
141,Chr/w,Red Light On,Ctrl,291.874,18.242125,16.0,2020-11-05_15-14-54,7,291.874
142,Chr/w,Red Light On,Ctrl,0.0,0.0,0.0,2019-05-01_14-57-59,28,0.0
143,Trhn/w,Red Light On,Ctrl,334.87600000000003,6.2014074074074,54.0,2019-04-05_12-10-53,16,334.8759999999996
