,index,Genotype,Status,Volume
145,195,Trhn/w,Ctrl,0.0
146,19,Trhn/w,Ctrl,37.432
147,17,Trhn>ACR1,Test,69.191
148,221,Trhn/w,Ctrl,0.0
149,222,Trhn>ACR1,Test,0.0
150,223,Trhn/w,Ctrl,0.0
151,224,ACR1/w,Ctrl,0.0
152,225,ACR1/w,Ctrl,0.0
153,12,Trhn>ACR1,Test,72.83000000000001
154,11,Trhn/w,Ctrl,102.161
155,10,ACR1/w,Ctrl,34.413
156,9,Trhn>ACR1,Test,124.553
157,8,Trhn/w,Ctrl,90.639
158,7,Trhn/w,Ctrl,39.443
159,6,Trhn>ACR1,Test,136.827
160,5,Trhn/w,Ctrl,29.685
161,4,Trhn>ACR1,Test,434.47200000000004
162,3,Trhn/w,Ctrl,129.094
163,2,ACR1/w,Ctrl,49.302
164,1,Trhn>ACR1,Test,202.56099999999998
165,33,ACR1/w,Ctrl,121.155
166,220,ACR1/w,Ctrl,0.0
167,219,Trhn/w,Ctrl,0.0
168,218,ACR1/w,Ctrl,0.0
169,217,Trhn>ACR1,Test,0.0
170,216,Trhn/w,Ctrl,0.0
171,215,ACR1/w,Ctrl,0.0
172,214,Trhn/w,Ctrl,0.0
173,13,Trhn/w,Ctrl,124.184
174,14,Trhn>ACR1,Test,156.01999999999998
175,15,Trhn/w,Ctrl,5.074999999999999
176,16,Trhn>ACR1,Test,6.590999999999999
177,18,ACR1/w,Ctrl,2.521
178,34,Trhn/w,Ctrl,337.426
179,40,Trhn>ACR1,Test,614.832
180,36,ACR1/w,Ctrl,97.063
181,140,ACR1/w,Ctrl,16.79
182,139,Trhn>ACR1,Test,166.397
183,138,Trhn/w,Ctrl,88.226
184,137,ACR1/w,Ctrl,48.82
185,136,Trhn>ACR1,Test,115.816
186,135,Trhn/w,Ctrl,38.519999999999996
187,134,Trhn>ACR1,Test,197.766
188,133,Trhn>ACR1,Test,180.283
189,132,ACR1/w,Ctrl,16.217
190,108,Trhn/w,Ctrl,4.639
191,107,ACR1/w,Ctrl,124.023
192,106,Trhn>ACR1,Test,207.18200000000002
193,141,Trhn/w,Ctrl,5.39
194,105,Trhn/w,Ctrl,190.105
195,103,Trhn>ACR1,Test,210.893
196,102,Trhn/w,Ctrl,70.275
197,101,Trhn>ACR1,Test,162.18099999999998
198,100,Trhn/w,Ctrl,88.503
199,99,Trhn>ACR1,Test,280.62
200,98,Trhn/w,Ctrl,108.887
201,97,Trhn>ACR1,Test,278.1059999999999
202,96,Trhn/w,Ctrl,86.228
203,95,Trhn>ACR1,Test,339.993
204,94,Trhn/w,Ctrl,166.505
205,93,Trhn>ACR1,Test,4.7780000000000005
206,92,Trhn/w,Ctrl,120.6339999999999
207,104,Trhn>ACR1,Test,238.7349999999999
208,142,Trhn>ACR1,Test,116.615
209,143,Trhn/w,Ctrl,5.7669999999999
210,144,Trhn>ACR1,Test,281.837
211,176,ACR1/w,Ctrl,0.0
212,175,Trhn/w,Ctrl,0.0
213,174,Trhn/w,Ctrl,0.0
214,173,ACR1/w,Ctrl,0.0
215,172,ACR1/w,Ctrl,0.0
216,171,ACR1/w,Ctrl,0.0
217,170,ACR1/w,Ctrl,0.0
218,169,ACR1/w,Ctrl,0.0
219,168,ACR1/w,Ctrl,0.0
220,167,ACR1/w,Ctrl,0.0
221,166,ACR1/w,Ctrl,0.0
222,37,Trhn/w,Ctrl,289.17199999999997
223,38,Trhn>ACR1,Test,356.773
224,39,Trhn/w,Ctrl,328.793
225,41,Trhn>ACR1,Test,599.4309999999999
