,ID,Status,Genotype,Sex,MinimumAge,MaximumAge,Food1,Food2,Temperature,#Flies,Starvedhrs,Date,averageSpeed_mm/s,xPosition_mm,yPosition_mm,inLeftPort,inRightPort,countLogDate,feedLogDate,GenoReduced,Light
91,2,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.11814769021345185,5.074425269309297,8.312209983184822,1.9596673914402618,0.09933797836793953,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
92,3,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.475895537204547,8.302635282103132,9.25145794695134,0.0,0.15699568609198836,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
93,4,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.07894333035986954,3.599445923234754,9.862148908720012,0.0,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
94,5,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.06854163823744115,3.8751321620567234,13.684828656641102,0.5696303654665065,0.017366779434954464,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
95,6,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.4498924040665397,7.825914950491884,8.005034781400992,0.05557369419185428,0.097253964835745,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
96,7,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.06917255865747632,8.377939545969607,11.640850513451904,0.0,0.0062520405965836075,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
97,8,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.07341821132260028,4.796410162502175,13.773115437086291,0.0,0.052100338304863394,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
98,9,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,1.2096687385226395,5.558404256694771,7.393878993646768,0.6842511097372059,0.6008905684494245,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
99,10,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.05772712998334175,6.647807383792204,11.068242726889144,0.0,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
100,11,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.06967721364459747,1.976832157913555,12.152449117911155,0.022229477676741716,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
101,12,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,1.61906573638567,6.157205060749291,7.18100270150901,0.3660917104888401,0.4140240217293144,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
102,13,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.05984808191940205,3.415840500541497,6.309622900631245,0.0,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
103,14,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.17041309147640718,7.320517116736838,8.510180350148463,0.017366779434954464,0.08474988364257778,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
104,15,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,2.327889910655279,5.79273927744785,7.611359093205142,0.9774023465992373,0.5300341083548102,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
105,16,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.1687268735362311,4.9674245312235215,6.48234152473953,0.0,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
106,17,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.18097686684066644,5.6580311028022745,5.078406829321312,0.0,0.020145464144547178,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
107,18,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.08709915427835249,8.320366163423298,6.535991124188682,0.013198752370565394,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
108,19,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.08023770222641517,6.9370387339374515,8.088238592019357,0.0027786847095927145,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
109,20,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,2.192802972042693,5.913753598903617,6.556892084138323,0.22090543441262078,0.49113252242051225,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
110,21,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.587278624818791,3.7768460468584775,5.489300964283543,0.7426034886386529,0.7398248039290601,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
111,22,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.09686605418062924,10.397365922115325,10.52997506354961,0.0,0.017366779434954464,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
112,23,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,2.267509560004922,5.739237480615838,7.062355935994243,1.427549269553257,1.8269851965572097,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
113,24,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.06776720821218367,4.246222838222374,9.077647794765525,0.0,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
114,25,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.10479759581167526,6.1681075518861315,4.480825019855955,0.0,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
115,26,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,0.1492640207646788,6.316765758106316,5.971768464703988,0.02431349120893625,0.0,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
116,27,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,1.7071846584042907,6.333609001918567,6.3663525701508155,1.7797475564941334,1.5004897431800657,2021-12-14_14-15-09,2021-12-14_14-15-12,Chr/w,Red Light On
117,28,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,1.1667504017707686,8.572239411803102,9.709863152692753,1.2240106145755907,1.2622175293324904,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05/w,Red Light On
118,29,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_14-15-09,1.800294474422264,6.577577586168334,6.030197903484354,2.0096837162129306,1.501879085534862,2021-12-14_14-15-09,2021-12-14_14-15-12,R50H05>Chr,Red Light On
