,ID,Status,Genotype,Sex,MinimumAge,MaximumAge,Food1,Food2,Temperature,#Flies,Starvedhrs,Date,averageSpeed_mm/s,xPosition_mm,yPosition_mm,inLeftPort,inRightPort,countLogDate,feedLogDate,GenoReduced,Light
19,20,Ctrl,w1118; r50h05-gal4,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.060695049761999666,2.3723603836380756,4.3186362552176805,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05/w,Red Light On
20,21,Test,r50h05-gal4>uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.9585651315243628,5.998603432754979,7.131516921350194,0.459177648260196,0.46473501767938147,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05>Chr,Red Light On
21,22,Ctrl,w1118; uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.06413802428867384,6.69407438103928,10.95360421299337,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,Chr/w,Red Light On
22,23,Ctrl,w1118; r50h05-gal4,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.06353244146299897,3.701379432375132,2.5748284887109385,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05/w,Red Light On
23,24,Test,r50h05-gal4>uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,1.1858621422923976,5.7249317394225026,6.577649335017646,0.4987739053718922,0.6668843303022515,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05>Chr,Red Light On
24,25,Ctrl,w1118; uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.05384622970772989,4.530513474948215,5.285916589781823,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,Chr/w,Red Light On
25,26,Ctrl,w1118; r50h05-gal4,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.06568263958015004,6.818542142075596,11.688880939852504,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05/w,Red Light On
26,27,Test,r50h05-gal4>uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.9696943861808514,5.8761711590420775,5.990767424978505,0.03473355886990893,0.03264954533771439,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05>Chr,Red Light On
27,28,Ctrl,w1118; uas-cschrimson,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.05232580395983419,8.726729780584066,5.707237538157935,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,Chr/w,Red Light On
28,29,Ctrl,w1118; r50h05-gal4,M,8,9,nan,nan,Red Light On,1,0,2021-11-12_16-18-50,0.06765670023918709,4.444194730572905,10.122913700674196,0.0,0.0,2021-11-12_16-18-50,2021-11-12_16-18-54,R50H05/w,Red Light On
