,index,Genotype,Status,Light,Speed
0,1,VT042751-DBD/w,Ctrl,Red Light Off,0.2403407024389973
1,2,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.0994940086710899
2,3,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.1116721665363406
3,4,VT042751-DBD/w,Ctrl,Red Light Off,0.1560266436331329
4,5,VT042751-DBD/w,Ctrl,Red Light Off,0.1393342434123921
5,6,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.2482442524943921
6,7,VT042751-DBD/w,Ctrl,Red Light Off,0.3141614837875078
7,8,VT042751-DBD/w,Ctrl,Red Light Off,0.1640172658526834
8,9,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.762344727475798
9,10,VT042751-DBD/w,Ctrl,Red Light Off,0.1350515535854965
10,11,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.3215905577032839
11,12,VT042751-DBD/w,Ctrl,Red Light Off,0.0841430347161364
12,14,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.0701780062652617
13,17,VT042751-DBD/w,Ctrl,Red Light Off,0.130557294270788
14,18,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.3290735188044612
15,19,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.0922674445091098
16,0,SXVNC1>Chr,Test,Red Light Off,0.198305763545095
17,13,SXVNC1>Chr,Test,Red Light Off,0.0908761470257902
18,15,SXVNC1>Chr,Test,Red Light Off,0.0841921848661444
19,16,SXVNC1>Chr,Test,Red Light Off,0.1396468900353417
20,20,SXVNC1>Chr,Test,Red Light Off,0.1531078138572327
21,21,SXVNC1>Chr,Test,Red Light Off,0.1935207404980706
22,22,SXVNC1>Chr,Test,Red Light Off,0.1418137627778196
23,23,SXVNC1>Chr,Test,Red Light Off,0.1676131533779633
24,24,SXVNC1>Chr,Test,Red Light Off,0.1646106700217783
25,25,SXVNC1>Chr,Test,Red Light Off,0.5372358373276204
26,26,SXVNC1>Chr,Test,Red Light Off,0.1154071089153338
27,27,SXVNC1>Chr,Test,Red Light Off,0.1111666833184761
28,28,SXVNC1>Chr,Test,Red Light Off,0.1240776810837146
29,29,SXVNC1>Chr,Test,Red Light Off,0.3029404408262741
30,81,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0716142571309073
31,82,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0806808151424206
32,83,Trhn-AD; Chr/w,Ctrl,Red Light On,0.8221763194855606
33,84,VT042751-DBD/w,Ctrl,Red Light On,0.111565357372933
34,85,VT042751-DBD/w,Ctrl,Red Light On,0.0879104647349558
35,86,Trhn-AD; Chr/w,Ctrl,Red Light On,0.4699222327980306
36,87,VT042751-DBD/w,Ctrl,Red Light On,1.0119667108578214
37,88,Trhn-AD; Chr/w,Ctrl,Red Light On,0.086759702018067
38,89,VT042751-DBD/w,Ctrl,Red Light On,0.0657766936843912
39,90,VT042751-DBD/w,Ctrl,Red Light On,0.1074538548708525
40,91,VT042751-DBD/w,Ctrl,Red Light On,0.1765024683765593
41,92,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0842061489588495
42,93,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0987962908245953
43,94,VT042751-DBD/w,Ctrl,Red Light On,0.7279810487083241
44,95,Trhn-AD; Chr/w,Ctrl,Red Light On,0.1258218804480767
45,96,VT042751-DBD/w,Ctrl,Red Light On,0.0926642144803725
46,97,Trhn-AD; Chr/w,Ctrl,Red Light On,0.3019543186601892
47,98,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0870616228800464
48,99,VT042751-DBD/w,Ctrl,Red Light On,0.0917681448170163
49,100,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0931282348752616
50,101,VT042751-DBD/w,Ctrl,Red Light On,0.2108101744216786
51,102,Trhn-AD; Chr/w,Ctrl,Red Light On,0.2311041218292867
52,103,VT042751-DBD/w,Ctrl,Red Light On,0.2192119747513352
53,104,Trhn-AD; Chr/w,Ctrl,Red Light On,0.1199501176607323
54,105,VT042751-DBD/w,Ctrl,Red Light On,0.261618720134077
55,106,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0787114696947541
56,107,VT042751-DBD/w,Ctrl,Red Light On,0.1289849085699559
57,108,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0880268268678169
58,109,VT042751-DBD/w,Ctrl,Red Light On,0.1431407765256561
59,110,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0645301843296116
60,111,VT042751-DBD/w,Ctrl,Red Light On,0.3649525142731474
61,112,Trhn-AD; Chr/w,Ctrl,Red Light On,1.4463249648362202
62,113,VT042751-DBD/w,Ctrl,Red Light On,0.0826407441031749
63,114,Trhn-AD; Chr/w,Ctrl,Red Light On,0.106496008546805
64,115,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0849606224034437
65,116,VT042751-DBD/w,Ctrl,Red Light On,0.1096463571846
66,117,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0792258257907523
67,118,VT042751-DBD/w,Ctrl,Red Light On,0.4071925348825778
68,119,VT042751-DBD/w,Ctrl,Red Light On,0.1118761596025421
69,120,Trhn-AD; Chr/w,Ctrl,Red Light On,0.2323872890892495
70,121,VT042751-DBD/w,Ctrl,Red Light On,0.0641142326463345
71,122,VT042751-DBD/w,Ctrl,Red Light On,0.128152610229823
72,123,VT042751-DBD/w,Ctrl,Red Light On,0.1290287009882931
73,125,VT042751-DBD/w,Ctrl,Red Light On,0.118946715410477
74,126,Trhn-AD; Chr/w,Ctrl,Red Light On,0.2452387936277135
75,127,Trhn-AD; Chr/w,Ctrl,Red Light On,0.1037269938244445
76,128,Trhn-AD; Chr/w,Ctrl,Red Light On,0.1036891752884759
77,129,VT042751-DBD/w,Ctrl,Red Light On,0.0698719221045295
78,130,VT042751-DBD/w,Ctrl,Red Light On,0.1012799048264371
79,131,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0978030431875889
80,132,VT042751-DBD/w,Ctrl,Red Light On,0.9059957168448672
81,133,VT042751-DBD/w,Ctrl,Red Light On,0.0973875501558071
82,134,Trhn-AD; Chr/w,Ctrl,Red Light On,1.3638535932034332
83,135,VT042751-DBD/w,Ctrl,Red Light On,0.2980742788851157
84,136,Trhn-AD; Chr/w,Ctrl,Red Light On,0.3546644304772758
85,137,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0744935105872494
86,138,VT042751-DBD/w,Ctrl,Red Light On,0.1905769409593855
87,139,Trhn-AD; Chr/w,Ctrl,Red Light On,0.3626105864426601
88,140,VT042751-DBD/w,Ctrl,Red Light On,0.1915384120721082
89,141,VT042751-DBD/w,Ctrl,Red Light On,0.1919267534446943
90,142,Trhn-AD; Chr/w,Ctrl,Red Light On,0.693932493263632
91,143,Trhn-AD; Chr/w,Ctrl,Red Light On,0.3542522605238635
92,144,VT042751-DBD/w,Ctrl,Red Light On,0.1257407449273735
93,145,VT042751-DBD/w,Ctrl,Red Light On,0.1309376424448573
94,146,Trhn-AD; Chr/w,Ctrl,Red Light On,0.683343368189831
95,147,VT042751-DBD/w,Ctrl,Red Light On,0.0959231583758993
96,148,Trhn-AD; Chr/w,Ctrl,Red Light On,0.1642816956948649
97,149,Trhn-AD; Chr/w,Ctrl,Red Light On,0.1133266571035961
98,30,SXVNC1>Chr,Test,Red Light On,0.0701202981659515
99,31,SXVNC1>Chr,Test,Red Light On,0.0611270796097164
100,32,SXVNC1>Chr,Test,Red Light On,0.0581790736315653
101,33,SXVNC1>Chr,Test,Red Light On,0.1803603351638741
102,34,SXVNC1>Chr,Test,Red Light On,0.1759239593243307
103,35,SXVNC1>Chr,Test,Red Light On,0.0955254795472325
104,36,SXVNC1>Chr,Test,Red Light On,0.0633994770421204
105,37,SXVNC1>Chr,Test,Red Light On,0.0749595492267761
106,38,SXVNC1>Chr,Test,Red Light On,0.0972531784080405
107,39,SXVNC1>Chr,Test,Red Light On,0.0685169001309376
108,40,SXVNC1>Chr,Test,Red Light On,0.0506368729995712
109,41,SXVNC1>Chr,Test,Red Light On,0.0572113260558665
110,42,SXVNC1>Chr,Test,Red Light On,0.1717490355470535
111,43,SXVNC1>Chr,Test,Red Light On,0.0613517810961715
112,44,SXVNC1>Chr,Test,Red Light On,0.0677835029349222
113,45,SXVNC1>Chr,Test,Red Light On,0.1667435198571085
114,46,SXVNC1>Chr,Test,Red Light On,0.1339925442971239
115,47,SXVNC1>Chr,Test,Red Light On,0.0756704637905558
116,48,SXVNC1>Chr,Test,Red Light On,0.1092114697562788
117,49,SXVNC1>Chr,Test,Red Light On,0.1405852754874324
118,50,SXVNC1>Chr,Test,Red Light On,0.0755831666144052
119,51,SXVNC1>Chr,Test,Red Light On,0.0938166810405189
120,52,SXVNC1>Chr,Test,Red Light On,0.2069467433716282
121,53,SXVNC1>Chr,Test,Red Light On,0.0
122,54,SXVNC1>Chr,Test,Red Light On,0.2897235358569756
123,55,SXVNC1>Chr,Test,Red Light On,0.0669325139290401
124,56,SXVNC1>Chr,Test,Red Light On,0.0746693487438313
125,57,SXVNC1>Chr,Test,Red Light On,0.0697617831033555
126,58,SXVNC1>Chr,Test,Red Light On,0.0822874322840416
127,59,SXVNC1>Chr,Test,Red Light On,0.0908674950670463
128,60,SXVNC1>Chr,Test,Red Light On,0.3081214568802823
129,61,SXVNC1>Chr,Test,Red Light On,0.1049482575777184
130,62,SXVNC1>Chr,Test,Red Light On,0.2469571988870639
131,63,SXVNC1>Chr,Test,Red Light On,0.1578520393983767
132,64,SXVNC1>Chr,Test,Red Light On,0.3538050330835368
133,65,SXVNC1>Chr,Test,Red Light On,0.1193498889205339
134,66,SXVNC1>Chr,Test,Red Light On,0.073557565124098
135,67,SXVNC1>Chr,Test,Red Light On,0.2513610961481045
136,68,SXVNC1>Chr,Test,Red Light On,0.1070736499417981
137,69,SXVNC1>Chr,Test,Red Light On,0.8198882042028134
138,70,SXVNC1>Chr,Test,Red Light On,0.0781495793694923
139,71,SXVNC1>Chr,Test,Red Light On,0.1119538541134566
140,72,SXVNC1>Chr,Test,Red Light On,0.1079938661601959
141,73,SXVNC1>Chr,Test,Red Light On,0.0818664391749483
142,74,SXVNC1>Chr,Test,Red Light On,1.2207874887865304
143,75,SXVNC1>Chr,Test,Red Light On,0.276900671290177
144,76,SXVNC1>Chr,Test,Red Light On,0.0738563523209446
145,77,SXVNC1>Chr,Test,Red Light On,0.111841486125589
146,78,SXVNC1>Chr,Test,Red Light On,0.4857410047040604
147,79,SXVNC1>Chr,Test,Red Light On,0.1001177272947002
148,80,SXVNC1>Chr,Test,Red Light On,0.0616320084565246
149,124,SXVNC1>Chr,Test,Red Light On,0.083977698597672
