,index,Genotype,Status,Light,Meal Size
0,1,VT042751-DBD/w,Ctrl,Red Light Off,15.886909090909
1,2,Trhn-AD; Chr/w,Ctrl,Red Light Off,6.24
2,3,Trhn-AD; Chr/w,Ctrl,Red Light Off,40.6740666666666
3,4,VT042751-DBD/w,Ctrl,Red Light Off,22.5827777777777
4,5,VT042751-DBD/w,Ctrl,Red Light Off,32.9722857142857
5,6,Trhn-AD; Chr/w,Ctrl,Red Light Off,32.3921428571428
6,7,VT042751-DBD/w,Ctrl,Red Light Off,30.7145294117647
7,8,VT042751-DBD/w,Ctrl,Red Light Off,48.219
8,9,Trhn-AD; Chr/w,Ctrl,Red Light Off,5.606238095238
9,10,VT042751-DBD/w,Ctrl,Red Light Off,103.9943333333333
10,11,Trhn-AD; Chr/w,Ctrl,Red Light Off,35.4757777777777
11,12,VT042751-DBD/w,Ctrl,Red Light Off,37.194333333333304
12,14,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.0
13,17,VT042751-DBD/w,Ctrl,Red Light Off,25.993
14,18,Trhn-AD; Chr/w,Ctrl,Red Light Off,13.9160909090909
15,19,Trhn-AD; Chr/w,Ctrl,Red Light Off,10.5665555555555
16,0,SXVNC1>Chr,Test,Red Light Off,7.5590724637681
17,13,SXVNC1>Chr,Test,Red Light Off,11.6715625
18,15,SXVNC1>Chr,Test,Red Light Off,116.1645
19,16,SXVNC1>Chr,Test,Red Light Off,10.4383793103448
20,20,SXVNC1>Chr,Test,Red Light Off,53.6678333333333
21,21,SXVNC1>Chr,Test,Red Light Off,74.4932222222222
22,22,SXVNC1>Chr,Test,Red Light Off,49.55
23,23,SXVNC1>Chr,Test,Red Light Off,30.088250000000002
24,24,SXVNC1>Chr,Test,Red Light Off,62.3668
25,25,SXVNC1>Chr,Test,Red Light Off,15.6675185185185
26,26,SXVNC1>Chr,Test,Red Light Off,73.61225
27,27,SXVNC1>Chr,Test,Red Light Off,25.348545454545402
28,28,SXVNC1>Chr,Test,Red Light Off,121.66375000000001
29,29,SXVNC1>Chr,Test,Red Light Off,20.75656
30,81,Trhn-AD; Chr/w,Ctrl,Red Light On,13.0043461538461
31,82,Trhn-AD; Chr/w,Ctrl,Red Light On,6.460999999999999
32,83,Trhn-AD; Chr/w,Ctrl,Red Light On,15.851187499999998
33,84,VT042751-DBD/w,Ctrl,Red Light On,0.0
34,85,VT042751-DBD/w,Ctrl,Red Light On,0.0
35,86,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0
36,87,VT042751-DBD/w,Ctrl,Red Light On,0.0
37,88,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0
38,89,VT042751-DBD/w,Ctrl,Red Light On,0.0
39,90,VT042751-DBD/w,Ctrl,Red Light On,0.0
40,91,VT042751-DBD/w,Ctrl,Red Light On,0.0
41,92,Trhn-AD; Chr/w,Ctrl,Red Light On,21.7365454545454
42,93,Trhn-AD; Chr/w,Ctrl,Red Light On,24.4715652173913
43,94,VT042751-DBD/w,Ctrl,Red Light On,12.474294117647
44,95,Trhn-AD; Chr/w,Ctrl,Red Light On,29.0286875
45,96,VT042751-DBD/w,Ctrl,Red Light On,34.4670714285714
46,97,Trhn-AD; Chr/w,Ctrl,Red Light On,12.6030727272727
47,98,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0
48,99,VT042751-DBD/w,Ctrl,Red Light On,29.4701666666666
49,100,Trhn-AD; Chr/w,Ctrl,Red Light On,25.745
50,101,VT042751-DBD/w,Ctrl,Red Light On,39.6248
51,102,Trhn-AD; Chr/w,Ctrl,Red Light On,26.3009333333333
52,103,VT042751-DBD/w,Ctrl,Red Light On,109.93633333333331
53,104,Trhn-AD; Chr/w,Ctrl,Red Light On,4.9915166666666
54,105,VT042751-DBD/w,Ctrl,Red Light On,52.1092
55,106,Trhn-AD; Chr/w,Ctrl,Red Light On,63.8762
56,107,VT042751-DBD/w,Ctrl,Red Light On,124.2603333333333
57,108,Trhn-AD; Chr/w,Ctrl,Red Light On,12.093416666666599
58,109,VT042751-DBD/w,Ctrl,Red Light On,65.003
59,110,Trhn-AD; Chr/w,Ctrl,Red Light On,45.12025
60,111,VT042751-DBD/w,Ctrl,Red Light On,49.568625
61,112,Trhn-AD; Chr/w,Ctrl,Red Light On,9.8293958333333
62,113,VT042751-DBD/w,Ctrl,Red Light On,48.389
63,114,Trhn-AD; Chr/w,Ctrl,Red Light On,29.383599999999998
64,115,Trhn-AD; Chr/w,Ctrl,Red Light On,23.255384615384603
65,116,VT042751-DBD/w,Ctrl,Red Light On,0.0
66,117,Trhn-AD; Chr/w,Ctrl,Red Light On,17.0974999999999
