,index,Genotype,Status,Light,Speed
0,13,SXVNC1/w,Ctrl,Green Light Off,0.9714379887268824
1,14,ACR1/w,Ctrl,Green Light Off,1.0443774492770084
2,16,ACR1/w,Ctrl,Green Light Off,2.8142587794698235
3,17,SXVNC1/w,Ctrl,Green Light Off,0.504258722826939
4,18,ACR1/w,Ctrl,Green Light Off,0.3550570329194238
5,19,SXVNC1/w,Ctrl,Green Light Off,0.6070148117810319
6,20,SXVNC1/w,Ctrl,Green Light Off,0.1807142468686759
7,21,SXVNC1/w,Ctrl,Green Light Off,0.5298009790994397
8,22,SXVNC1/w,Ctrl,Green Light Off,0.3473877008020167
9,23,ACR1/w,Ctrl,Green Light Off,0.1166526070885127
10,24,ACR1/w,Ctrl,Green Light Off,0.3438544614143125
11,25,SXVNC1/w,Ctrl,Green Light Off,0.5130995986390808
12,26,ACR1/w,Ctrl,Green Light Off,1.3201550831769375
13,27,SXVNC1/w,Ctrl,Green Light Off,0.3914210795793953
14,28,ACR1/w,Ctrl,Green Light Off,2.26577249550417
15,29,SXVNC1/w,Ctrl,Green Light Off,0.921910728060684
16,0,SXVNC1>ACR1,Test,Green Light Off,0.0954337822316625
17,1,SXVNC1>ACR1,Test,Green Light Off,0.092919375724097
18,2,SXVNC1>ACR1,Test,Green Light Off,0.1300513047521853
19,3,SXVNC1>ACR1,Test,Green Light Off,0.1337954675921129
20,4,SXVNC1>ACR1,Test,Green Light Off,0.1215562799028396
21,5,SXVNC1>ACR1,Test,Green Light Off,0.0849431827764464
22,6,SXVNC1>ACR1,Test,Green Light Off,0.1316766993506843
23,7,SXVNC1>ACR1,Test,Green Light Off,0.1297311527367282
24,8,SXVNC1>ACR1,Test,Green Light Off,0.2563966571607228
25,9,SXVNC1>ACR1,Test,Green Light Off,0.0699204809475309
26,10,SXVNC1>ACR1,Test,Green Light Off,0.1884844940423095
27,11,SXVNC1>ACR1,Test,Green Light Off,0.0822769383231518
28,12,SXVNC1>ACR1,Test,Green Light Off,0.181487084579818
29,15,SXVNC1>ACR1,Test,Green Light Off,0.0841946471601332
30,53,SXVNC1/w,Ctrl,Green Light On,0.2819946216187642
31,55,ACR1/w,Ctrl,Green Light On,0.997725410795276
32,56,ACR1/w,Ctrl,Green Light On,2.115285498841865
33,57,ACR1/w,Ctrl,Green Light On,1.0519917743849527
34,58,SXVNC1/w,Ctrl,Green Light On,0.6640898545897592
35,59,SXVNC1/w,Ctrl,Green Light On,1.0727836883118722
36,60,ACR1/w,Ctrl,Green Light On,0.1079398271692353
37,61,SXVNC1/w,Ctrl,Green Light On,0.5042971347223681
38,62,SXVNC1/w,Ctrl,Green Light On,0.1347857478186657
39,63,ACR1/w,Ctrl,Green Light On,0.0663294876505491
40,64,ACR1/w,Ctrl,Green Light On,0.1810399178281743
41,65,ACR1/w,Ctrl,Green Light On,0.0948818440848558
42,66,SXVNC1/w,Ctrl,Green Light On,0.1118491248383792
43,67,SXVNC1/w,Ctrl,Green Light On,0.0834555800735768
44,68,ACR1/w,Ctrl,Green Light On,0.1163374933003542
45,69,SXVNC1/w,Ctrl,Green Light On,0.1343521574876714
46,70,ACR1/w,Ctrl,Green Light On,0.9951358410742476
47,71,ACR1/w,Ctrl,Green Light On,0.8080427837286974
48,72,SXVNC1/w,Ctrl,Green Light On,0.2539272200966266
49,75,ACR1/w,Ctrl,Green Light On,1.2714076538214911
50,76,SXVNC1/w,Ctrl,Green Light On,0.2809538391848213
51,77,SXVNC1/w,Ctrl,Green Light On,0.5805719159009237
52,79,SXVNC1/w,Ctrl,Green Light On,0.1580494697112691
