,index,Genotype,Status,Light,Volume
0,1,VT042751-DBD/w,Ctrl,Red Light Off,349.512
1,2,Trhn-AD; Chr/w,Ctrl,Red Light Off,262.08
2,3,Trhn-AD; Chr/w,Ctrl,Red Light Off,610.111
3,4,VT042751-DBD/w,Ctrl,Red Light Off,203.2449999999999
4,5,VT042751-DBD/w,Ctrl,Red Light Off,230.806
5,6,Trhn-AD; Chr/w,Ctrl,Red Light Off,226.7449999999999
6,7,VT042751-DBD/w,Ctrl,Red Light Off,522.147
7,8,VT042751-DBD/w,Ctrl,Red Light Off,337.5329999999999
8,9,Trhn-AD; Chr/w,Ctrl,Red Light Off,235.46200000000002
9,10,VT042751-DBD/w,Ctrl,Red Light Off,311.983
10,11,Trhn-AD; Chr/w,Ctrl,Red Light Off,319.282
11,12,VT042751-DBD/w,Ctrl,Red Light Off,223.166
12,14,Trhn-AD; Chr/w,Ctrl,Red Light Off,0.0
13,17,VT042751-DBD/w,Ctrl,Red Light Off,259.93
14,18,Trhn-AD; Chr/w,Ctrl,Red Light Off,306.154
15,19,Trhn-AD; Chr/w,Ctrl,Red Light Off,95.099
16,0,SXVNC1>Chr,Test,Red Light Off,521.576
17,13,SXVNC1>Chr,Test,Red Light Off,186.745
18,15,SXVNC1>Chr,Test,Red Light Off,232.329
19,16,SXVNC1>Chr,Test,Red Light Off,302.713
20,20,SXVNC1>Chr,Test,Red Light Off,322.007
21,21,SXVNC1>Chr,Test,Red Light Off,670.439
22,22,SXVNC1>Chr,Test,Red Light Off,297.3
23,23,SXVNC1>Chr,Test,Red Light Off,361.059
24,24,SXVNC1>Chr,Test,Red Light Off,311.834
25,25,SXVNC1>Chr,Test,Red Light Off,423.02299999999997
26,26,SXVNC1>Chr,Test,Red Light Off,294.449
27,27,SXVNC1>Chr,Test,Red Light Off,278.8339999999999
28,28,SXVNC1>Chr,Test,Red Light Off,486.65500000000003
29,29,SXVNC1>Chr,Test,Red Light Off,518.914
30,81,Trhn-AD; Chr/w,Ctrl,Red Light On,338.113
31,82,Trhn-AD; Chr/w,Ctrl,Red Light On,381.199
32,83,Trhn-AD; Chr/w,Ctrl,Red Light On,760.857
33,84,VT042751-DBD/w,Ctrl,Red Light On,0.0
34,85,VT042751-DBD/w,Ctrl,Red Light On,0.0
35,86,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0
36,87,VT042751-DBD/w,Ctrl,Red Light On,0.0
37,88,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0
38,89,VT042751-DBD/w,Ctrl,Red Light On,0.0
39,90,VT042751-DBD/w,Ctrl,Red Light On,0.0
40,91,VT042751-DBD/w,Ctrl,Red Light On,0.0
41,92,Trhn-AD; Chr/w,Ctrl,Red Light On,239.1019999999999
42,93,Trhn-AD; Chr/w,Ctrl,Red Light On,562.8460000000001
43,94,VT042751-DBD/w,Ctrl,Red Light On,636.189
44,95,Trhn-AD; Chr/w,Ctrl,Red Light On,464.459
45,96,VT042751-DBD/w,Ctrl,Red Light On,482.539
46,97,Trhn-AD; Chr/w,Ctrl,Red Light On,693.169
47,98,Trhn-AD; Chr/w,Ctrl,Red Light On,0.0
48,99,VT042751-DBD/w,Ctrl,Red Light On,353.642
49,100,Trhn-AD; Chr/w,Ctrl,Red Light On,334.685
50,101,VT042751-DBD/w,Ctrl,Red Light On,396.248
51,102,Trhn-AD; Chr/w,Ctrl,Red Light On,394.51399999999995
52,103,VT042751-DBD/w,Ctrl,Red Light On,329.809
53,104,Trhn-AD; Chr/w,Ctrl,Red Light On,299.491
54,105,VT042751-DBD/w,Ctrl,Red Light On,260.546
55,106,Trhn-AD; Chr/w,Ctrl,Red Light On,319.38100000000003
56,107,VT042751-DBD/w,Ctrl,Red Light On,372.78099999999995
57,108,Trhn-AD; Chr/w,Ctrl,Red Light On,145.121
58,109,VT042751-DBD/w,Ctrl,Red Light On,260.012
59,110,Trhn-AD; Chr/w,Ctrl,Red Light On,541.443
60,111,VT042751-DBD/w,Ctrl,Red Light On,396.549
61,112,Trhn-AD; Chr/w,Ctrl,Red Light On,471.811
62,113,VT042751-DBD/w,Ctrl,Red Light On,145.167
63,114,Trhn-AD; Chr/w,Ctrl,Red Light On,440.75399999999996
64,115,Trhn-AD; Chr/w,Ctrl,Red Light On,302.32
65,116,VT042751-DBD/w,Ctrl,Red Light On,0.0
66,117,Trhn-AD; Chr/w,Ctrl,Red Light On,512.925
67,118,VT042751-DBD/w,Ctrl,Red Light On,304.394
68,119,VT042751-DBD/w,Ctrl,Red Light On,475.143
69,120,Trhn-AD; Chr/w,Ctrl,Red Light On,679.033
70,121,VT042751-DBD/w,Ctrl,Red Light On,332.512
71,122,VT042751-DBD/w,Ctrl,Red Light On,224.803
72,123,VT042751-DBD/w,Ctrl,Red Light On,342.783
73,125,VT042751-DBD/w,Ctrl,Red Light On,311.926
74,126,Trhn-AD; Chr/w,Ctrl,Red Light On,284.611
75,127,Trhn-AD; Chr/w,Ctrl,Red Light On,159.075
76,128,Trhn-AD; Chr/w,Ctrl,Red Light On,199.084
77,129,VT042751-DBD/w,Ctrl,Red Light On,221.886
78,130,VT042751-DBD/w,Ctrl,Red Light On,131.92499999999998
79,131,Trhn-AD; Chr/w,Ctrl,Red Light On,240.96699999999998
80,132,VT042751-DBD/w,Ctrl,Red Light On,745.3140000000001
81,133,VT042751-DBD/w,Ctrl,Red Light On,302.159
82,134,Trhn-AD; Chr/w,Ctrl,Red Light On,626.726
83,135,VT042751-DBD/w,Ctrl,Red Light On,613.819
84,136,Trhn-AD; Chr/w,Ctrl,Red Light On,509.44100000000003
85,137,Trhn-AD; Chr/w,Ctrl,Red Light On,208.834
86,138,VT042751-DBD/w,Ctrl,Red Light On,261.795
87,139,Trhn-AD; Chr/w,Ctrl,Red Light On,759.115
88,140,VT042751-DBD/w,Ctrl,Red Light On,476.94599999999997
89,141,VT042751-DBD/w,Ctrl,Red Light On,450.169
90,142,Trhn-AD; Chr/w,Ctrl,Red Light On,737.94
91,143,Trhn-AD; Chr/w,Ctrl,Red Light On,596.467
92,144,VT042751-DBD/w,Ctrl,Red Light On,272.44
93,145,VT042751-DBD/w,Ctrl,Red Light On,261.832
94,146,Trhn-AD; Chr/w,Ctrl,Red Light On,848.8639999999999
95,147,VT042751-DBD/w,Ctrl,Red Light On,269.01399999999995
96,148,Trhn-AD; Chr/w,Ctrl,Red Light On,362.526
97,149,Trhn-AD; Chr/w,Ctrl,Red Light On,198.0239999999999
98,30,SXVNC1>Chr,Test,Red Light On,0.0
99,31,SXVNC1>Chr,Test,Red Light On,0.0
100,32,SXVNC1>Chr,Test,Red Light On,0.0
101,33,SXVNC1>Chr,Test,Red Light On,159.93099999999998
102,34,SXVNC1>Chr,Test,Red Light On,128.162
103,35,SXVNC1>Chr,Test,Red Light On,193.3369999999999
104,36,SXVNC1>Chr,Test,Red Light On,0.0
105,37,SXVNC1>Chr,Test,Red Light On,0.0
106,38,SXVNC1>Chr,Test,Red Light On,0.0
107,39,SXVNC1>Chr,Test,Red Light On,0.0
108,40,SXVNC1>Chr,Test,Red Light On,0.0
109,41,SXVNC1>Chr,Test,Red Light On,0.0
110,42,SXVNC1>Chr,Test,Red Light On,270.77099999999996
111,43,SXVNC1>Chr,Test,Red Light On,0.0
112,44,SXVNC1>Chr,Test,Red Light On,0.0
113,45,SXVNC1>Chr,Test,Red Light On,0.0
114,46,SXVNC1>Chr,Test,Red Light On,0.0
115,47,SXVNC1>Chr,Test,Red Light On,0.0
116,48,SXVNC1>Chr,Test,Red Light On,0.0
117,49,SXVNC1>Chr,Test,Red Light On,228.624
118,50,SXVNC1>Chr,Test,Red Light On,240.74399999999991
119,51,SXVNC1>Chr,Test,Red Light On,271.588
120,52,SXVNC1>Chr,Test,Red Light On,0.0
121,53,SXVNC1>Chr,Test,Red Light On,0.0
122,54,SXVNC1>Chr,Test,Red Light On,274.40799999999996
123,55,SXVNC1>Chr,Test,Red Light On,347.16200000000003
124,56,SXVNC1>Chr,Test,Red Light On,0.0
125,57,SXVNC1>Chr,Test,Red Light On,230.44400000000002
126,58,SXVNC1>Chr,Test,Red Light On,231.815
127,59,SXVNC1>Chr,Test,Red Light On,233.646
128,60,SXVNC1>Chr,Test,Red Light On,239.91299999999998
129,61,SXVNC1>Chr,Test,Red Light On,395.844
130,62,SXVNC1>Chr,Test,Red Light On,481.334
131,63,SXVNC1>Chr,Test,Red Light On,4.7259999999999005
132,64,SXVNC1>Chr,Test,Red Light On,556.4820000000001
133,65,SXVNC1>Chr,Test,Red Light On,211.19
134,66,SXVNC1>Chr,Test,Red Light On,363.71999999999997
135,67,SXVNC1>Chr,Test,Red Light On,594.4399999999999
136,68,SXVNC1>Chr,Test,Red Light On,32.641000000000005
137,69,SXVNC1>Chr,Test,Red Light On,634.793
138,70,SXVNC1>Chr,Test,Red Light On,175.155
139,71,SXVNC1>Chr,Test,Red Light On,350.07
140,72,SXVNC1>Chr,Test,Red Light On,428.06899999999996
141,73,SXVNC1>Chr,Test,Red Light On,0.0
142,74,SXVNC1>Chr,Test,Red Light On,535.986
143,75,SXVNC1>Chr,Test,Red Light On,483.721
144,76,SXVNC1>Chr,Test,Red Light On,0.0
145,77,SXVNC1>Chr,Test,Red Light On,227.962
146,78,SXVNC1>Chr,Test,Red Light On,392.40000000000003
