,index,Genotype,Status,Light,Meal Size
0,5,SXVNC2/w,Ctrl,Green Light Off,159.833
1,6,SXVNC2/w,Ctrl,Green Light Off,18.6085
2,8,ACR1/w,Ctrl,Green Light Off,13.779703703703701
3,9,SXVNC2/w,Ctrl,Green Light Off,22.2703333333333
4,10,ACR1/w,Ctrl,Green Light Off,7.6953928571428
5,11,SXVNC2/w,Ctrl,Green Light Off,10.555
6,12,SXVNC2/w,Ctrl,Green Light Off,30.478666666666598
7,13,ACR1/w,Ctrl,Green Light Off,0.0
8,14,ACR1/w,Ctrl,Green Light Off,0.0
9,15,SXVNC2/w,Ctrl,Green Light Off,0.0
10,16,ACR1/w,Ctrl,Green Light Off,0.0
11,17,SXVNC2/w,Ctrl,Green Light Off,0.0
12,18,ACR1/w,Ctrl,Green Light Off,38.9926
13,19,SXVNC2/w,Ctrl,Green Light Off,40.1113333333333
14,24,ACR1/w,Ctrl,Green Light Off,0.0
15,29,ACR1/w,Ctrl,Green Light Off,0.0
16,0,SXVNC2>ACR1,Test,Green Light Off,0.0
17,1,SXVNC2>ACR1,Test,Green Light Off,0.0
18,2,SXVNC2>ACR1,Test,Green Light Off,0.0
19,3,SXVNC2>ACR1,Test,Green Light Off,0.0
20,4,SXVNC2>ACR1,Test,Green Light Off,25.5612857142857
21,7,SXVNC2>ACR1,Test,Green Light Off,8.3266666666666
22,20,SXVNC2>ACR1,Test,Green Light Off,34.03125
23,21,SXVNC2>ACR1,Test,Green Light Off,2.155
24,22,SXVNC2>ACR1,Test,Green Light Off,19.0245
25,23,SXVNC2>ACR1,Test,Green Light Off,0.0
26,25,SXVNC2>ACR1,Test,Green Light Off,19.64125
27,26,SXVNC2>ACR1,Test,Green Light Off,22.3142
28,27,SXVNC2>ACR1,Test,Green Light Off,8.6310333333333
29,28,SXVNC2>ACR1,Test,Green Light Off,2.1679999999999997
30,38,ACR1/w,Ctrl,Green Light On,16.884
31,40,SXVNC2/w,Ctrl,Green Light On,0.0
32,41,SXVNC2/w,Ctrl,Green Light On,0.0
33,42,SXVNC2/w,Ctrl,Green Light On,0.0
34,43,SXVNC2/w,Ctrl,Green Light On,0.0
35,44,ACR1/w,Ctrl,Green Light On,0.0
36,45,SXVNC2/w,Ctrl,Green Light On,0.0
37,46,ACR1/w,Ctrl,Green Light On,0.0
38,47,ACR1/w,Ctrl,Green Light On,0.0
39,49,SXVNC2/w,Ctrl,Green Light On,0.0
40,50,ACR1/w,Ctrl,Green Light On,6.58
41,51,SXVNC2/w,Ctrl,Green Light On,28.6965
42,52,SXVNC2/w,Ctrl,Green Light On,19.185000000000002
43,53,ACR1/w,Ctrl,Green Light On,8.2031
44,58,ACR1/w,Ctrl,Green Light On,0.0
45,59,ACR1/w,Ctrl,Green Light On,16.845499999999998
46,30,SXVNC2>ACR1,Test,Green Light On,0.0
47,31,SXVNC2>ACR1,Test,Green Light On,0.0
48,32,SXVNC2>ACR1,Test,Green Light On,6.39
49,33,SXVNC2>ACR1,Test,Green Light On,0.0
50,34,SXVNC2>ACR1,Test,Green Light On,0.0
51,35,SXVNC2>ACR1,Test,Green Light On,3.4610000000000003
52,36,SXVNC2>ACR1,Test,Green Light On,0.0
53,37,SXVNC2>ACR1,Test,Green Light On,12.883000000000001
54,39,SXVNC2>ACR1,Test,Green Light On,8.868666666666599
55,48,SXVNC2>ACR1,Test,Green Light On,15.128
56,54,SXVNC2>ACR1,Test,Green Light On,0.0
57,55,SXVNC2>ACR1,Test,Green Light On,2.176
58,56,SXVNC2>ACR1,Test,Green Light On,4.6022702702702
59,57,SXVNC2>ACR1,Test,Green Light On,2.24975
