,index,Genotype,Status,Light,Volume
0,0,Chr/w,Ctrl,Red Light On,272.189
1,19,SXVNC3/w,Ctrl,Red Light On,108.678
2,20,Chr/w,Ctrl,Red Light On,207.44000000000003
3,21,SXVNC3/w,Ctrl,Red Light On,277.683
4,22,SXVNC3/w,Ctrl,Red Light On,184.18
5,23,Chr/w,Ctrl,Red Light On,247.855
6,24,Chr/w,Ctrl,Red Light On,247.4589999999999
7,25,SXVNC3/w,Ctrl,Red Light On,3.243
8,26,SXVNC3/w,Ctrl,Red Light On,338.806
9,28,Chr/w,Ctrl,Red Light On,309.984
10,58,SXVNC3/w,Ctrl,Red Light On,152.728
11,59,SXVNC3/w,Ctrl,Red Light On,282.5999999999999
12,60,SXVNC3/w,Ctrl,Red Light On,279.506
13,61,SXVNC3/w,Ctrl,Red Light On,39.163999999999994
14,62,SXVNC3/w,Ctrl,Red Light On,0.0
15,63,Chr/w,Ctrl,Red Light On,0.0
16,64,Chr/w,Ctrl,Red Light On,0.0
17,65,Chr/w,Ctrl,Red Light On,0.0
18,66,SXVNC3/w,Ctrl,Red Light On,13.552
19,67,Chr/w,Ctrl,Red Light On,202.514
20,68,SXVNC3/w,Ctrl,Red Light On,269.98299999999995
21,69,Chr/w,Ctrl,Red Light On,272.083
22,70,Chr/w,Ctrl,Red Light On,209.003
23,71,SXVNC3/w,Ctrl,Red Light On,151.814
24,72,Chr/w,Ctrl,Red Light On,772.582
25,73,Chr/w,Ctrl,Red Light On,57.196
26,74,SXVNC3/w,Ctrl,Red Light On,259.31100000000004
27,75,SXVNC3/w,Ctrl,Red Light On,441.184
28,76,Chr/w,Ctrl,Red Light On,201.72799999999998
29,77,SXVNC3/w,Ctrl,Red Light On,254.905
30,78,SXVNC3/w,Ctrl,Red Light On,155.405
31,79,SXVNC3/w,Ctrl,Red Light On,0.0
32,80,Chr/w,Ctrl,Red Light On,529.828
33,81,SXVNC3/w,Ctrl,Red Light On,435.81199999999995
34,82,SXVNC3/w,Ctrl,Red Light On,312.12
35,83,Chr/w,Ctrl,Red Light On,187.85399999999998
36,84,SXVNC3/w,Ctrl,Red Light On,371.438
37,85,Chr/w,Ctrl,Red Light On,136.078
38,86,SXVNC3/w,Ctrl,Red Light On,392.949
39,87,Chr/w,Ctrl,Red Light On,314.638
40,88,SXVNC3/w,Ctrl,Red Light On,148.42699999999988
41,89,SXVNC3/w,Ctrl,Red Light On,248.89600000000002
42,90,SXVNC3/w,Ctrl,Red Light On,189.436
43,91,SXVNC3/w,Ctrl,Red Light On,371.30400000000003
44,92,Chr/w,Ctrl,Red Light On,216.538
45,93,SXVNC3/w,Ctrl,Red Light On,635.05
46,94,SXVNC3/w,Ctrl,Red Light On,427.09999999999997
47,95,SXVNC3/w,Ctrl,Red Light On,140.382
48,96,SXVNC3/w,Ctrl,Red Light On,420.086
49,97,Chr/w,Ctrl,Red Light On,4.673
50,98,SXVNC3/w,Ctrl,Red Light On,225.154
51,99,Chr/w,Ctrl,Red Light On,339.883
52,100,SXVNC3/w,Ctrl,Red Light On,267.2029999999999
53,101,Chr/w,Ctrl,Red Light On,333.02699999999993
54,102,Chr/w,Ctrl,Red Light On,192.12199999999999
55,103,Chr/w,Ctrl,Red Light On,279.5249999999999
56,104,Chr/w,Ctrl,Red Light On,296.819
57,105,Chr/w,Ctrl,Red Light On,416.253
58,106,SXVNC3/w,Ctrl,Red Light On,408.76800000000003
59,107,SXVNC3/w,Ctrl,Red Light On,0.0
60,108,Chr/w,Ctrl,Red Light On,585.558
61,109,Chr/w,Ctrl,Red Light On,353.161
62,110,Chr/w,Ctrl,Red Light On,250.40400000000002
63,111,SXVNC3/w,Ctrl,Red Light On,538.516
64,112,Chr/w,Ctrl,Red Light On,313.858
65,113,SXVNC3/w,Ctrl,Red Light On,178.66299999999998
66,114,SXVNC3/w,Ctrl,Red Light On,432.3099999999999
67,115,Chr/w,Ctrl,Red Light On,178.063
68,116,SXVNC3/w,Ctrl,Red Light On,511.3299999999999
69,117,Chr/w,Ctrl,Red Light On,66.167
70,1,SXVNC3>Chr,Test,Red Light On,0.0
71,2,SXVNC3>Chr,Test,Red Light On,0.0
72,3,SXVNC3>Chr,Test,Red Light On,0.0
73,4,SXVNC3>Chr,Test,Red Light On,0.0
74,5,SXVNC3>Chr,Test,Red Light On,0.0
75,6,SXVNC3>Chr,Test,Red Light On,48.03
76,7,SXVNC3>Chr,Test,Red Light On,0.0
77,8,SXVNC3>Chr,Test,Red Light On,0.0
78,9,SXVNC3>Chr,Test,Red Light On,0.0
79,10,SXVNC3>Chr,Test,Red Light On,0.0
80,11,SXVNC3>Chr,Test,Red Light On,0.0
81,12,SXVNC3>Chr,Test,Red Light On,0.0
82,13,SXVNC3>Chr,Test,Red Light On,0.0
83,14,SXVNC3>Chr,Test,Red Light On,0.0
84,15,SXVNC3>Chr,Test,Red Light On,348.754
85,16,SXVNC3>Chr,Test,Red Light On,192.056
86,17,SXVNC3>Chr,Test,Red Light On,63.819
87,18,SXVNC3>Chr,Test,Red Light On,195.699
88,27,SXVNC3>Chr,Test,Red Light On,2.785
89,29,SXVNC3>Chr,Test,Red Light On,0.0
90,30,SXVNC3>Chr,Test,Red Light On,250.069
91,31,SXVNC3>Chr,Test,Red Light On,154.248
92,32,SXVNC3>Chr,Test,Red Light On,97.932
93,33,SXVNC3>Chr,Test,Red Light On,317.728
94,34,SXVNC3>Chr,Test,Red Light On,240.078
95,35,SXVNC3>Chr,Test,Red Light On,49.5979999999999
96,36,SXVNC3>Chr,Test,Red Light On,259.7939999999999
97,37,SXVNC3>Chr,Test,Red Light On,157.251
98,38,SXVNC3>Chr,Test,Red Light On,55.72
99,39,SXVNC3>Chr,Test,Red Light On,21.031000000000002
100,40,SXVNC3>Chr,Test,Red Light On,222.007
101,41,SXVNC3>Chr,Test,Red Light On,439.023
102,42,SXVNC3>Chr,Test,Red Light On,299.7559999999999
103,43,SXVNC3>Chr,Test,Red Light On,180.587
104,44,SXVNC3>Chr,Test,Red Light On,11.4229999999999
105,45,SXVNC3>Chr,Test,Red Light On,618.832
106,46,SXVNC3>Chr,Test,Red Light On,323.768
107,47,SXVNC3>Chr,Test,Red Light On,115.73
108,48,SXVNC3>Chr,Test,Red Light On,282.211
109,49,SXVNC3>Chr,Test,Red Light On,537.319
110,50,SXVNC3>Chr,Test,Red Light On,208.935
111,51,SXVNC3>Chr,Test,Red Light On,135.3039999999999
112,52,SXVNC3>Chr,Test,Red Light On,157.287
113,53,SXVNC3>Chr,Test,Red Light On,200.927
114,54,SXVNC3>Chr,Test,Red Light On,77.9779999999999
115,55,SXVNC3>Chr,Test,Red Light On,320.576
116,56,SXVNC3>Chr,Test,Red Light On,398.519
117,57,SXVNC3>Chr,Test,Red Light On,620.8130000000001
118,118,SXVNC3>Chr,Test,Red Light On,54.205999999999996
119,119,SXVNC3>Chr,Test,Red Light On,232.322
